username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
nsno1878,,,634,644,12527,2010-12-07 22:58:31,2021-05-19 16:37:12,0,"Aw bless him, he’s tired. He ran around ( use that term loosely) against Sheffield United for 78 minutes....3 FUCKING DAYS AGO! #JamesRodriguez","[{'text': 'JamesRodriguez', 'indices': [128, 143]}]"
diegosierra_05,,,108,26,319,2011-05-15 18:53:16,2021-05-19 16:17:07,0,No entiendo cómo se convoca a #jamesrodriguez que vive lesionado y juega 1 de 5 partidos y no a #Falcao que cada vez que juega hace un gol y es mucho más líder del equipo @ReinaldoRuedaDT #SeleccionColombia,"[{'text': 'jamesrodriguez', 'indices': [30, 45]}, {'text': 'Falcao', 'indices': [96, 103]}, {'text': 'SeleccionColombia', 'indices': [188, 206]}]"
Impactosports11,,"Bogotá, D.C., Colombia",136,126,290,2019-02-05 19:08:42,2021-05-19 15:23:59,2,"@FCFSeleccionCol y los convocados de @ReinaldoRuedaDT  
Les gusto la convocatoria, falto alguien? 
Recuerda suscribirte    
https://t.co/wrkaqqfx2L a través de @YouTube 
#Seleccióncolombia #ReinadoRueda #JamesRodriguez #falcao  #Cuadrado  #Santosborre #Quiqueson #quiquebarona",[]
lnavarrom22,Fiel amante y admirador del deporte mas hermoso del mundo:El Futbol,Monteria-Medellin-Cali,1214,566,138138,2009-11-26 15:40:43,2021-05-19 11:22:04,1,"@djfranzmoreno @FCFSeleccionCol  Me extraña mucho que se siga poniendo las esperanzas de una posible clasificación a #qatar2022
en manos del centro campista #JamesRodriguez. 
Como convocarlo para partidos tan importantes para #Colombia si hace meses ni juega en la Premier?",[]
LuisCaHer80,El Fútbol es mi vida llegue hasta Segunda División. Camino a la EuroCopa 2020 & la Copa Mundo Qatar 2022.,,594,282,4204,2015-09-07 07:29:34,2021-05-19 05:37:29,0,"@CarlosVan7 @passionsportm  El wing izquierdo  @luisdiaz19_  es un joya...
Pero como pueden convocar a #JamesRodriguez si no tiene minutos ni con su padrino Carlo Angelotti.
Espero que nos sea por negocio solamente por que se pueden hundir más camino a #qatar..","[{'text': 'JamesRodriguez', 'indices': [103, 118]}, {'text': 'qatar', 'indices': [253, 259]}]"
AliciaWCupLover,"Aunque la mona se vista de seda, mona se queda.",,674,316,4411,2015-09-06 13:48:27,2021-05-19 05:06:01,1,"@djfranzmoreno @FCFSeleccionCol  Me extraña mucho que se siga poniendo las esperanzas de una posible clasificación a #qatar2022
en manos del centro campista #JamesRodriguez. 
Como convocarlo para partidos tan importantes para #Colombia si hace meses ni juega en la Premier?","[{'text': 'qatar2022', 'indices': [117, 127]}, {'text': 'JamesRodriguez', 'indices': [157, 172]}, {'text': 'Colombia', 'indices': [226, 235]}]"
TheInfoStride,"The latest breaking news, Nigerian news, world news and top stories on business, celebrity, entertainment, politics, sports, technology, and more.",,417,6621,223972,2009-05-02 10:15:58,2021-05-19 04:58:48,0,"I Still Don't Know Where I'll Retire - James Rodriguez: https://t.co/Wtx2J4ZTZr 
#Everton #jamesrodriguez #retirement #Sports
https://t.co/Wtx2J4ZTZr","[{'text': 'Everton', 'indices': [81, 89]}, {'text': 'jamesrodriguez', 'indices': [90, 105]}, {'text': 'retirement', 'indices': [106, 117]}, {'text': 'Sports', 'indices': [118, 125]}]"
Quiqueson,"Periodista Deportivo RCN RADIO y Panelista de @latelepolemica en instagram Quiqueson, en https://t.co/gfOhxteOIc como Quique Barona Arango",Bogotá D.C.,726,26124,18667,2010-05-23 00:31:42,2021-05-19 02:32:48,2,"@FCFSeleccionCol y los convocados de @ReinaldoRuedaDT  
Les gusto la convocatoria, falto alguien? 
Recuerda suscribirte    
https://t.co/wrkaqqfx2L a través de @YouTube 
#Seleccióncolombia #ReinadoRueda #JamesRodriguez #falcao  #Cuadrado  #Santosborre #Quiqueson #quiquebarona","[{'text': 'Seleccióncolombia', 'indices': [170, 188]}, {'text': 'ReinadoRueda', 'indices': [189, 202]}, {'text': 'JamesRodriguez', 'indices': [203, 218]}, {'text': 'falcao', 'indices': [219, 226]}, {'text': 'Cuadrado', 'indices': [228, 237]}, {'text': 'Santosborre', 'indices': [239, 251]}, {'text': 'Quiqueson', 'indices': [252, 262]}, {'text': 'quiquebarona', 'indices': [263, 276]}]"
DonBalon,40 Años hablando de fútbol,España,1210,14293,93597,2013-03-18 08:46:41,2021-05-17 22:10:07,0,"Zizou hunde una última vez a James Rodríguez: Florentino Pérez ejecuta
#JamesRodríguez #Florentino #Fichajes https://t.co/l7dCuyWaWu","[{'text': 'JamesRodríguez', 'indices': [71, 86]}, {'text': 'Florentino', 'indices': [87, 98]}, {'text': 'Fichajes', 'indices': [99, 108]}]"
Fava38,https://t.co/XYnNvIFfjS,"Bogotá, D.C., Colombia",24,28,2660,2010-06-03 22:12:44,2021-05-17 18:42:29,0,JAMES RODRIGUEZ por encima de sus compañeros EVERTON VS SHEFFIELD UNITED https://t.co/iQM5w0D2Wb a través de @YouTube @jamesdrodriguez @Everton #jamesrodriguez #everton,"[{'text': 'jamesrodriguez', 'indices': [144, 159]}, {'text': 'everton', 'indices': [160, 168]}]"
